"Which of the following schools would you think this course is most aligned to (the name of the school may be changed (and in fact I would like suggestions)). The idea is to provide each course emphasis, by clearly conveying it's interest domain to audience and hopefully get more registrations.",School ID,Course ID,Course Name,Club,Desc_short,Desc,Week_time,Evaluation,Certification,Pre-req,Contact info,Week 1,Week 2,Week 3,Week 4,Week Null
The CS and DS Summer School,6,61,Intro to Machine Learning and NLP,Web and Coding Club ,"Learn how machines understand and generate human language. This hands-on learnerspace covers everything from NLP fundamentals to advanced deep learning models like BERT and GPT, using tools like Hugging Face and GANs. Perfect for developers, data scientists, and AI enthusiasts looking to build real-world NLP applications.","This comprehensive course blends the power of Machine Learning (ML) with the language understanding capabilities of Natural Language Processing (NLP). Designed for aspiring AI engineers, data scientists, and developers, the course begins with the core principles of ML and gradually transitions into the specialized world of NLP.

You'll begin by learning python libraries and the core building blocks of NLP: tokenization, stemming, lemmatization, part-of-speech tagging, and named entity recognition. 

As the course progresses, you'll dive into deep learning for NLP, understanding recurrent neural networks (RNNs), LSTMs. From there, we transition into the world of Transformers covering key models like BERT. 

Using the Hugging Face ecosystem, you'll gain hands-on experience in fine-tuning pre-trained models for downstream tasks such as sentiment analysis, text classification, question answering, and summarization. The course also introduces Generative Adversarial Networks (GANs) applied to text generation—a challenging and emerging area in NLP.

Throughout the course, you'll work on real-world projects that reinforce learning and prepare you for building production-ready NLP applications.",18-20 hours,You will be solving weekly exercises and a capstone project at the end of 4th week.,Minimum set level of accuracy in assignments and the Capstone project,Just your enthusiasm!,"Sarthak (9739348680) , Avnish (9167339950) , Mrigank (8802026300) , Utkarsh (8826799261)","Foundations of NLP & Data Processing

-> Introduction to NLP
NLP pipeline overview: tokenization, preprocessing, vectorization, modeling, evaluation.

-> Python Libraries
NumPy: Numerical operations (arrays, broadcasting, vectorized math).
Pandas: Data handling (Series, DataFrames, handling text columns).
Text preprocessing using sklearn.

-> Regex (Regular Expressions)
Basics: pattern matching, wildcards, quantifiers.
Practice with Python’s re module.","Classical NLP Modeling

-> Text Vectorization
TF-IDF (Term Frequency-Inverse Document Frequency):
Concept of bag-of-words vs TF-IDF.

-> Logistic Regression for Text Classification
Training and evaluating a classifier for sentiment analysis or spam detection.
Metrics: Accuracy, Precision, Recall, F1-score.
Hands-on: train a TF-IDF + Logistic Regression model.

-> Word & Sentence Embeddings
Limitations of one-hot and TF-IDF.
Word2Vec, GloVe, and FastText.
Sentence embeddings (e.g., Sentence-BERT).
","Deep Learning & Modern NLP

-> Transformers
The transformer architecture (attention mechanism, encoder-decoder blocks).
Key models: BERT, GPT, RoBERTa, etc.
Pretraining vs fine-tuning.

-> Hugging Face Library
Using the transformers library.
Tokenization, loading pretrained models, pipelines (e.g., pipeline('sentiment-analysis')).
Fine-tuning on custom data using Trainer API.

-> Overview of Generative Adversarial Networks

-> Bonus: Diffusion in NLP
Overview of Diffusion Models.
How these are adapted for text generation.
","Final Project

-> Final NLP Project

-> Wrap-Up & Beyond
Recap of all topics.
Where to go next? (e.g., LLMs, fine-tuning techniques, Reinforcement Learning for NLP)",
The CS and DS Summer School,6,62,Full Stack Pro: Frontend to Backend,Web and Coding Club,"Dive into the world of full stack development with this hands-on learners' space course that teaches you how to build complete, production-ready web applications. You'll create stunning, responsive frontends using React, power your backend with Django and REST APIs, and integrate robust data storage with MongoDB or PostgreSQL. From dynamic UIs to secure user authentication and real-time data handling, this course equips you with everything you need to become a full stack developer.
Perfect for beginners to go full stack.","The web powers everything around us—from simple blogs to large-scale social networks and enterprise apps. This immersive, hands-on course is your complete guide to becoming a professional full stack web developer. Whether you're starting from scratch or looking to sharpen your skills, this course will take you through the entire web development journey, step by step.

You'll begin by learning the core building blocks of the web: HTML, CSS, and JavaScript. These technologies form the foundation of every website and web app. You’ll master how to structure content, style layouts, and add interactivity from the ground up, giving you a solid start before diving into complex tools and frameworks.

From there, you'll move into building modern, interactive frontends using React, the most popular frontend library today. You'll learn to develop dynamic user interfaces, manage application state, and connect with APIs to bring your apps to life. You’ll also explore tools like React Router, Tailwind CSS, and best practices for component-based development.

On the backend, you'll learn to build powerful web services using Django, a high-level Python web framework known for its speed and scalability. With Django and Django REST Framework (DRF), you'll learn how to create RESTful APIs, manage server-side logic, and handle authentication, security, and database operations.

This course also includes deep dives into databases. You'll understand how to model data effectively, and how to integrate them with your full stack applications.",18-20 hours,You will be solving small weekly tasks and creating basic webpages. At the end you will be creating a full stack website.,Minimum set amount of tasks completed and final full stack website.,Just your enthusiasm!,"Mithra (8762070856) , Shivansh (7869735629)","Web Fundamentals + Intro to React
Goal: Build a strong foundation in frontend development and get started with React.

Topics:
HTML: Structure, elements, forms, semantic tags

CSS: Styling, Flexbox, Grid, responsive design basics

JavaScript: Variables, functions, DOM manipulation, events

Git & GitHub: Basics of version control

Intro to React","Deep Dive into React + Django Setup
Goal: Strengthen React skills and set up the backend using Django.

React Router for navigation

Event handling & conditional rendering

Form handling and controlled components

Fetching data with fetch / Axios

Django Topics:
Installing Python & Django

Creating Django project & apps

Django views, URLs, templates

Static files & basic templates

Setting up Django REST Framework (DRF)","Backend APIs with Django REST Framework
Goal: Build a full-featured backend with REST APIs.

Topics:
Django Models and ORM

Serializers and ViewSets

CRUD operations with Django REST Framework

Token-based authentication (JWT or Django auth)

Connecting React to Django APIs

Handling CORS & environment setup","Databases + Final Full Stack Project
Goal: Connect everything together with a database and build a deployable full stack project.

Topics:
PostgreSQL or MongoDB basics (choose based on project)

Integrating databases with Django

Data migrations & relationships

Finalizing API integration with frontend

Project structuring & cleanup

Final Full stack Project",
The CS and DS Summer School,6,63,WebCraft : Open Source Fun ToolKit,ITC Web Team,"Start your coding journey: learn HTML, CSS & JavaScript, build a simple game or utility, then deploy it live on the ITC website","

This course will introduce you to web development and open source contribution  both of which are crucial for any tech profile and in forums like GSoC ( Google Summer of Code)

- Component Magic
Break UIs into bite-sized HTML/CSS/JS pieces
Hands-on: craft your own Application or mini game like unit converter or currency converter

- Publish to the Web
Push code to our repo & watch it go live
Learn the simple steps to make your project viewable by all

- Your Unique Mini-Project
Pick from fun apps (Currency Converter, Quiz, Tip Calculator…)
Build, refine & plug your component into the ITC site

- Launch Day & Feedback
Live demo of everyone’s mini-apps and will be publicized on the web team website 
Celebrate your work & let your tech journey begin with an interesting project on your portfolio !!",12 - 15 hours,"Weekly update / assignment submissions
Final mini-project demo & code quality ",Complete your final project by end of Week 4,Just your enthusiasm!,Riya Agrawal (7669697471),"HTML structure & semantic tags
CSS basics: layout with Flexbox
Build a Card Component (title, image placeholder, description)
Style it responsively for mobile + desktop","JS variables, functions & events
DOM selection & manipulation
Create a Unit Converter Widget (e.g. cm ↔ in)
Inputs + buttons to select conversion type","Handling forms & real-time calculations in JS
Best practices for reusable components
Pick one mini-app and build core functionality + basic styling","Submit your mini-app component PR
Review code quality & styling tips
How our automated deploy makes your app live (you just push!)",
The CS and DS Summer School,6,64,Hardware security,EESA,Cache Me If You Can - Unveiling Cache based Microarchitectural Side-Channel Attacks,"Behind every fast computer is a tiny secret: CPU caches and they can spill more than just performance! In this project, we’ll tap into the stealthy world of microarchitectural side-channel attacks, where students become digital detectives, uncovering how attackers eavesdrop on cache behavior to steal secrets.

Through hands-on implementation of attacks like Flush+Reload and Occupancy-based attacks, they’ll uncover how cache timing and contention can silently betray even the most secure systems. Welcome to the world where your cache talks behind your back, Let’s try to listen.",10-12 hours,"Bandwidth and accuracy in both parts of project 

For Both parts of Project:- 
Total Score (out of 50) = (Accuracy / 100)*25 + (Bandwidth / Highest Bandwidth achieved)*25

Note:- Accuracy is in percentage and Bandwidth is in bits per second",Total score greater than 70,Either Linux or WSL(not preferred) installed,Praveen Prajapat (9785299880),"OS Memory Management (Virtual to Physical address translation, Concept of OS Pages), Cache Hierarchy, Cache Coherence, Replacement policies, Data flow during a Program run, Measuring Cache and Memory latencies, Special instructions - CLFLUSH, RDTSC, LSCPU and few others", Flush and Reload attack Implementation (Project - Part 1),Cache Occupancy based attack Implementation (Project - Part 2),"Mitigations of above two attacks - Randomized caches, Way partitioning, Set partitioning, Page coloring, Other microarchitectural attacks -  Spectre and Meltdow",Shouldn't be needed
The CS and DS Summer School,6,65,Introduction to Cryptography,Cyber Security Community,"Join CSeC's ""Introduction to Cryptography"" course and dive into the fascinating world of codes, ciphers, and cybersecurity! Learn how encryption protects data, explore classic & modern cryptographic techniques, and discover the math behind secure communication. Perfect for beginners—no prior experience needed!","Introduction to Cryptography – Course Breakdown
1. Classical Ciphers

Explore the roots of cryptography with historical encryption methods like the Caesar cipher, Vigenère cipher, and substitution techniques. Learn how these early systems worked, why they were eventually broken, and their influence on modern security.

2. Modern Cryptography (The Math Behind It)

Dive into the core mathematical concepts powering today’s encryption—XOR operations, modular arithmetic, and public-key cryptography (RSA). Understand the difference between symmetric and asymmetric encryption and how they protect data.
3. Advanced Topics (AES, Diffie-Hellman & More)

Take a deep dive into industry-standard algorithms like AES and key exchange protocols like Diffie-Hellman (DHKE). Learn about hashing, digital signatures, and real-world cryptographic applications.
4. Project – Putting It All Together

Combine everything you’ve learned into a project that makes (or perhaps even breaks) a complex encryption scheme using the tools of cryptography.",2-3 hours,"30%: Solutions to challenges in each section
70%: Project Submission",Based on the project,Just your enthusiasm!,Niral Charan (6369057961),"Classical Ciphers such as Caesar Cipher, Vigenère cipher, etc and how to break them.","
Modern Cryptography: The math behind it, public  key cryptography and RSA
","Advanced Topics: AES, Diffie-Hellman & More",Project and some advanced topics if enough interest,
The CS and DS Summer School,6,66,Tools For Cyber Security,Cyber Security Community,"""Level up your cyber skills with the hacker's ultimate toolkit!

In this hands-on course, you'll master the Linux command line, Python Scripting, Coding in C , and peek inside binaries with Assembly. 

Perfect for those who want to get into cyber security, or anyone who wants to understand how cyber tools really work under the hood. No prior experience required - just bring your curiosity!","This course is intended to familiarize you with the major tools are needed to learn cyber security. It'll be an amazing starting point for diving deeper into the topics you enjoy

We will cover the Linux command line, bash scripting, python scripting, basic C programming and x86 assembly.

You'll reinforce your learning through solving engaging challenges
and then put it all together in a project to really put your skills to the test!
",2-3 hours,"30% Challenges: There will be short challenges for you to solve in each section
70%  Final Project: A somewhat longer form project to really help you apply what you have learned",Final Project,Just your enthusiasm!,Niral Charan (6369057961),The Linux Command line and Bash Scripting,"Python Scripting, alongside Cyber Security related libraries",Basic C programming and x86 Assembly,A long form project allowing for a detailed application of the topics covered,
The CS and DS Summer School,6,67,Handwritten Digit Recognition using Convoluted Neural Networks,AI Community,"Ever wondered how machines learn to read? Dive into the world of Artificial Intelligence and master the art of teaching computers to recognize handwritten digits ! 

This hands-on course unlocks the power of Convolutional Neural Networks (CNNs), guiding you from pixels to predictions. 

Get ready to code, create, and conquer one of AI's foundational challenges !","Join us as we delve deep into the architecture and application of Convolutional Neural Networks (CNNs), the workhorse behind many of today's image recognition breakthroughs. You'll start with the fundamentals of neural networks and progressively build your expertise to design, train, and deploy sophisticated CNN models capable of accurately identifying handwritten characters.

What You Will Learn:

Fundamentals of Machine Learning & Neural Networks: Grasp the core concepts that underpin AI and deep learning.

Image Data Preprocessing: Learn essential techniques to prepare and augment image datasets (like the famous MNIST dataset) for optimal model performance.

The Power of Convolutional Neural Networks (CNNs): Understand the architecture of CNNs, including convolutional layers, pooling layers, and fully connected layers, and why they excel at image-based tasks.

Building & Training CNN Models: Gain hands-on experience in constructing CNNs using popular deep learning frameworks (e.g., TensorFlow/Keras or PyTorch).

Real-World Applications: Explore how the principles learned in handwritten digit recognition extend to other computer vision tasks like object detection and image classification.",7 hours,Weekly Assignments alongwith MCQ's to be completed and a final Project-Based Evaluation.,Project-Based,None,"Manish Shaw (6291445696), Devansh Yadav (8178443601)",Fundamentals of Machine Learning & Neural Networks.,Learn essential techniques to prepare and augment image datasets (like the famous MNIST dataset) for optimal model performance.,"Understand the architecture of CNNs, including convolutional layers, pooling layers, and fully connected layers, and why they excel at image-based tasks.",Gain hands-on experience in constructing CNNs using popular deep learning framework - PyTorch.,
The Engineering Summer School,3,31,Carbon Capture,Energy and Sustainability Club,"Carbon Capture & Storage is a game changing solution to decarbonize heavy industries and power systems. In this 4 week's course discover how engineers, scientists, and startups are reshaping the carbon equation by capturing carbon from industrial sources and then safely storing it underground.","This course will be conducted in the span of 4 weeks. In the 1st week, we will introduce what is carbon capture and in how many ways CO2 is produced and how it is adversely affecting our environment. In the 2nd week, we will introduce different types of carbon capture technologies and also the materials used. In the 3rd week, we will introduce different ways to store and utilize captured CO2. In the 4th week, we will cover the policies, economics related to carbon capture and storage also what the future holds for this.",4-5 hours,1) Weekly quizzes - 40% 2) Bi-Weekly case studies - 40% 3) Final quiz and Essay type on what you learnt - 20% ,For certificate at-least 60% course should be completed.,Just your enthusiasm!,Tejas Jadhav (8767417734),Introduction to carbon capture and storage and why it is important like how carbon is affecting climate and health of peoples. ,"Introduction to technology used for carbon capture including post combustion, pre combustion and oxy-fuel combustion and Direct air capture and bioenergy with CCS also materials used. ","How we can store carbon capture like geological storage, carbon mineralization and enhanced oil recovery and co2 utilization in concrete curing and synthetic fuels.",Overall policies related to carbon capture and how much it will cost us for this and what the future holds for this like future technologies.,
The Engineering Summer School,3,32,Tinker Tetris,Tinkerers' Laboratory,"Build your own mini game console—retro style with a modern twist!
In this hands-on course, you'll craft a portable LED-based arcade machine from scratch using an ESP32, design your own case with 3D printing, and code classics like Snake and Tetris. Wireless controllers, pixelated fun, and endless game customizations await. It's engineering, design, and gaming—all in one epic project.","Step into the world of DIY game consoles with this immersive, project-based course where hardware meets creativity.

You’ll build a fully functional ESP32-powered mini arcade console with a vibrant 8×8 WS2812B RGB LED matrix display. But this isn’t just a circuit—it’s a complete product you’ll design and build from the ground up.

Here’s what you’ll do:

Design and 3D print a retro-style handheld console case using CAD tools

Wire up an ESP32 microcontroller to control LED graphics and game logic

Program games like Snake, Chase, and Tetris using Arduino or MicroPython

Build detachable wireless controllers for multiplayer or modular play (just like a mini Nintendo Switch!)

Learn about Bluetooth or ESP-NOW protocols for wireless communication

Customize gameplay, animations, and control schemes to make it truly your own

Whether you're a student, hobbyist, or aspiring game dev, this course combines coding, electronics, 3D modeling, and game design into one powerful learning experience. You'll not only learn how things work—you’ll build something you can actually play.

By the end, you’ll walk away with your own custom console, a deeper understanding of embedded systems, and a solid foundation in rapid prototyping and interactive tech.",7 hrs,"Grading Breakdown
- Assignments (combined): 40%
  Hands-on tasks given throughout the course to reinforce learning.

- Attendance: 20%
  Presence in sessions is crucial.

 - Final Project: 40%
   Your fully functioning game console will be the culmination of all skills learned.


To be eligible to work on and submit the final project, students must:

 - Maintain at least 80% attendance

 - Submit all assignments

 - Achieve a minimum of 60% total score combined from assignments.

Project completion will be evaluated based on functionality, creativity, and completeness.","To receive the course completion certificate, students must:  1) Successfully complete the final project – A fully functional ESP32-based game console with working controls, LED display, and at least one playable game. 2) Submit complete documentation of learnings and code – A brief report covering the project build process, key learnings, challenges faced, and annotated code.",Just your enthusiasm!,"Prathamesh Bende (9423149159), Dhruv Chaturvedi (9171981824)","Theme: Getting Started with the ESP32 & WS2812B
Objectives:

- Understand ESP32 architecture and development environment

- Learn basic programming using Arduino or MicroPython

- Get familiar with the WS2812B RGB LED matrix

Topics Covered:

- Introduction to the course and final project scope

- ESP32: Features, pinouts, setup (Arduino IDE / Thonny for MicroPython)

- Digital I/O, PWM, serial communication basics

- RGB color theory and WS2812B protocols

- Using Adafruit NeoPixel / FastLED libraries

- Controlling a single LED and lighting patterns

- Rendering basic shapes/pixels on 8×8 matrix

- Matrix mapping and addressing pixels","Theme: Game Logic & Pixel-Based Rendering
Objectives:

- Build understanding of game loops, logic, and rendering with limited resources

- Design and simulate basic games like Snake or Chase

Topics Covered:

- Game loop architecture (setup, update, render)

- Input handling (initially via serial / hardcoded logic)

- Graphics on 8×8: pixel mapping, movement, collision detection

- Frame buffering and optimization for LED matrix

- Snake Game: Design, logic flow, implementation","Theme: Controller Design and Communication Protocols
Objectives:

- Teach wireless communication between ESP32 modules

- Lay groundwork for modular console design with detachable controllers

Topics Covered:

- Bluetooth Low Energy (BLE) vs ESP-NOW overview

- Setting up ESP-NOW for low-latency communication

- Making one ESP32 act as game controller (input device)

- Sending directional/button inputs to main ESP32

- Protocol design: packets, encoding inputs

- Designing a modular system: magnetic/detachable ideas, battery power, casing considerations","Theme: Project Implementation & Showcase
Objectives:

- Assemble the game console

- Implement at least one full game with controllers

- Showcase modular and portable features

Activities:

- Distribution of kits to eligible participants

- Build station setup (soldering, wiring, casing)

Step-by-step assembly:

- ESP32 core + Matrix display

- Controller units + ESP-NOW link

- Power supply integration (Li-ion + charging circuit)

- Final game installation & testing


Final Project Deliverables:

- Working portable console

- At least 1 game implemented with wireless controller support","The Project submission deadline might be extended due to the students coming to campus late, so the resume verification criteria in that case would be the same as the final project eligibility criteria"
The Engineering Summer School,3,33,Aerial Robotics Course,Aeromodelling Club,"Take flight with Aerial Robotics – learn MATLAB fundamentals, build and control quadcopters, fine-tune with PID, and chart intelligent paths using A*","The Aeromodelling Club is back again with its flagship Aerial Robotics course! From mastering MATLAB basics and exploring quadcopter dynamics to implementing precise PID control and diving into autonomous path planning : we covered it all. And this year, we took things up a notch by integrating the powerful A* algorithm, enabling smarter, faster, and more efficient autonomous navigation.

Why just fly, when you can think and fly?",5-6 hours,"The course assessment is designed to encourage consistent learning and hands-on application, with a combination of weekly assignments and a final hardware project. 

Note:

Completion of all weekly assignments with satisfactory performance is mandatory to qualify for the final hardware project.

Regular participation in interactive doubt sessions is encouraged to clarify concepts and enhance learning outcomes.

","To successfully complete the Aerial Robotics course and receive certification, participants must:  1. Complete all weekly assignments Submit each week's assignment by the deadline.  2. Achieve above-threshold scores Score above the minimum required marks in all weekly assessments to demonstrate consistent understanding.  Only participants who fulfill both criteria will be eligible for the final project and certification.",Just your enthusiasm!,"Arya Patil (8879354729), Siddhesh Mane (8793419105), Anamika Garg (7999781698)","Kickstart with the basics of MATLAB, understand drone sizing, and dive into quadrotor kinematics through thrust sizing techniques.
","Explore the physics of flight with quadrotor dynamics and implement your first 1D PID controller for stability and precision.
","Week 3: Move to the next dimension : grasp 2D control fundamentals and implement a working 2D quadcopter controller.
","Week 4: Take on the skies with 3D quadrotor control, delve into autonomous navigation, and bring it all together in hands-on implementation.

","Week 5: Wrap up with intelligence! Learn the basics of path planning through the A* algorithm for smarter autonomous flight.


"
